"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Otsoni [µg/m3]","Hengitettävät hiukkaset <10 µm [µg/m3]","Pienhiukkaset <2.5 µm [µg/m3]","Ilmanlaatuindeksi [1/5]"
"Helsinki Kallio 2","2020","4","24","17:00","78.8","10.4","1.5","2"
"Helsinki Kallio 2","2020","4","24","18:00","78.1","18.6","4.1","2"
"Helsinki Kallio 2","2020","4","24","19:00","80.6","10.5","1.7","2"
"Helsinki Kallio 2","2020","4","24","20:00","81.1","6.6","0.2","2"
"Helsinki Kallio 2","2020","4","24","21:00","77.4","7","0.8","2"
"Helsinki Kallio 2","2020","4","24","22:00","75.7","5.7","0.6","2"
"Helsinki Kallio 2","2020","4","24","23:00","75.5","4.5","1.2","2"
"Helsinki Kallio 2","2020","4","25","00:00","75.7","3.2","1.3","2"
"Helsinki Kallio 2","2020","4","25","01:00","76.6","6","3.9","2"
"Helsinki Kallio 2","2020","4","25","02:00","74.5","6.1","4","2"
"Helsinki Kallio 2","2020","4","25","03:00","72.6","5.6","4.5","2"
"Helsinki Kallio 2","2020","4","25","04:00","69.2","5.5","4.6","2"
"Helsinki Kallio 2","2020","4","25","05:00","68.2","4.8","4.1","2"
"Helsinki Kallio 2","2020","4","25","06:00","67.4","4.3","3.4","2"
"Helsinki Kallio 2","2020","4","25","07:00","66.8","5","3.5","2"
"Helsinki Kallio 2","2020","4","25","08:00","68.2","7.5","4","2"
"Helsinki Kallio 2","2020","4","25","09:00","72.5","6.4","2.6","2"
"Helsinki Kallio 2","2020","4","25","10:00","76.4","5.1","2.6","2"
"Helsinki Kallio 2","2020","4","25","11:00","79.7","5.7","2.4","2"
"Helsinki Kallio 2","2020","4","25","12:00","80.6","5.7","2.5","2"
"Helsinki Kallio 2","2020","4","25","13:00","81.1","7","2.8","2"
"Helsinki Kallio 2","2020","4","25","14:00","82","7.2","3.1","2"
"Helsinki Kallio 2","2020","4","25","15:00","82.4","7.6","2.7","2"
"Helsinki Kallio 2","2020","4","25","16:00","82.4","7.8","3.1","2"
"Helsinki Kallio 2","2020","4","25","17:00","83.1","7.7","3","2"
"Helsinki Kallio 2","2020","4","25","18:00","83.8","10.4","5.2","2"
"Helsinki Kallio 2","2020","4","25","19:00","83.6","12.9","6.6","2"
"Helsinki Kallio 2","2020","4","25","20:00","82.2","6.2","1.4","2"
"Helsinki Kallio 2","2020","4","25","21:00","80.8","7.1","2.4","2"
"Helsinki Kallio 2","2020","4","25","22:00","78.9","9","4.7","2"
"Helsinki Kallio 2","2020","4","25","23:00","75.9","8.2","5","2"
"Helsinki Kallio 2","2020","4","26","00:00","73.6","6.7","4.1","2"
"Helsinki Kallio 2","2020","4","26","01:00","71.8","5.9","4.4","2"
"Helsinki Kallio 2","2020","4","26","02:00","68.6","7","4.7","2"
"Helsinki Kallio 2","2020","4","26","03:00","66.4","6.2","3.6","2"
"Helsinki Kallio 2","2020","4","26","04:00","65.9","5.6","3.7","2"
"Helsinki Kallio 2","2020","4","26","05:00","66.1","4.3","3.2","2"
"Helsinki Kallio 2","2020","4","26","06:00","65.7","4.1","3.1","2"
"Helsinki Kallio 2","2020","4","26","07:00","65.4","4.2","3.2","2"
"Helsinki Kallio 2","2020","4","26","08:00","66.6","4.8","2.4","2"
"Helsinki Kallio 2","2020","4","26","09:00","68.4","4.6","2.5","2"
"Helsinki Kallio 2","2020","4","26","10:00","77.6","3.4","1.9","2"
"Helsinki Kallio 2","2020","4","26","11:00","82.1","4.2","2.7","2"
"Helsinki Kallio 2","2020","4","26","12:00","85.3","7.8","3.8","2"
"Helsinki Kallio 2","2020","4","26","13:00","85.7","5.7","3.4","2"
"Helsinki Kallio 2","2020","4","26","14:00","83.2","7.3","4.1","2"
"Helsinki Kallio 2","2020","4","26","15:00","76.3","10.3","5.2","2"
"Helsinki Kallio 2","2020","4","26","16:00","81.6","10.1","4.7","2"
"Helsinki Kallio 2","2020","4","26","17:00","85.6","8.3","3.9","2"
"Helsinki Kallio 2","2020","4","26","18:00","81.4","7.9","3.2","2"
"Helsinki Kallio 2","2020","4","26","19:00","80","8.4","3.9","2"
"Helsinki Kallio 2","2020","4","26","20:00","79.3","10.5","5.7","2"
"Helsinki Kallio 2","2020","4","26","21:00","74","7.6","4.4","2"
"Helsinki Kallio 2","2020","4","26","22:00","69.7","8.3","4.4","2"
"Helsinki Kallio 2","2020","4","26","23:00","67.5","8.9","4.8","2"
"Helsinki Kallio 2","2020","4","27","00:00","69.9","6.1","2.7","2"
"Helsinki Kallio 2","2020","4","27","01:00","67.9","5.6","3.6","2"
"Helsinki Kallio 2","2020","4","27","02:00","68.5","4.7","3.2","2"
"Helsinki Kallio 2","2020","4","27","03:00","67.4","3.8","3.3","2"
"Helsinki Kallio 2","2020","4","27","04:00","65.8","3.5","3.6","2"
"Helsinki Kallio 2","2020","4","27","05:00","61.5","3.7","3.2","2"
"Helsinki Kallio 2","2020","4","27","06:00","55.6","4.1","2.9","1"
"Helsinki Kallio 2","2020","4","27","07:00","46.7","9.1","3.1","1"
"Helsinki Kallio 2","2020","4","27","08:00","42.5","17.9","3.4","1"
"Helsinki Kallio 2","2020","4","27","09:00","49.1","16.7","4.5","1"
"Helsinki Kallio 2","2020","4","27","10:00","57.4","12.9","3.5","1"
"Helsinki Kallio 2","2020","4","27","11:00","62.8","12.4","3.7","2"
"Helsinki Kallio 2","2020","4","27","12:00","65.4","12.9","4.1","2"
"Helsinki Kallio 2","2020","4","27","13:00","65.7","14.3","3.9","2"
"Helsinki Kallio 2","2020","4","27","14:00","65.8","11.4","3.7","2"
"Helsinki Kallio 2","2020","4","27","15:00","70.8","10.7","3.7","2"
"Helsinki Kallio 2","2020","4","27","16:00","64.7","12.2","5.7","2"
"Helsinki Kallio 2","2020","4","27","17:00","65","8.7","2.8","2"
"Helsinki Kallio 2","2020","4","27","18:00","66","8.6","2.5","2"
"Helsinki Kallio 2","2020","4","27","19:00","69.4","10","3.6","2"
"Helsinki Kallio 2","2020","4","27","20:00","69.2","8","2.8","2"
"Helsinki Kallio 2","2020","4","27","21:00","67.4","8.8","2.8","2"
"Helsinki Kallio 2","2020","4","27","22:00","64.3","6.6","2.3","2"
"Helsinki Kallio 2","2020","4","27","23:00","59.6","7","2.9","1"
"Helsinki Kallio 2","2020","4","28","00:00","59.7","6.2","3","1"
"Helsinki Kallio 2","2020","4","28","01:00","56.6","5.2","2.8","1"
"Helsinki Kallio 2","2020","4","28","02:00","50.1","7.8","2.8","1"
"Helsinki Kallio 2","2020","4","28","03:00","49.3","11.4","2.9","1"
"Helsinki Kallio 2","2020","4","28","04:00","44.2","8.6","4","1"
"Helsinki Kallio 2","2020","4","28","05:00","51.8","5.1","3.2","1"
"Helsinki Kallio 2","2020","4","28","06:00","49.4","3.7","2.5","1"
