"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Otsoni [µg/m3]","Hengitettävät hiukkaset <10 µm [µg/m3]","Pienhiukkaset <2.5 µm [µg/m3]","Ilmanlaatuindeksi [1/5]"
"Helsinki Kallio 2","2024","12","7","01:00","30.6","3.3","4","1"
"Helsinki Kallio 2","2024","12","7","02:00","34.9","3.1","4.4","1"
"Helsinki Kallio 2","2024","12","7","03:00","35.7","2.7","3.6","1"
"Helsinki Kallio 2","2024","12","7","04:00","37.2","3.1","3.6","1"
"Helsinki Kallio 2","2024","12","7","05:00","39.3","2","2.5","1"
"Helsinki Kallio 2","2024","12","7","06:00","40.3","1","1.8","1"
"Helsinki Kallio 2","2024","12","7","07:00","36.9","3.1","3.6","1"
"Helsinki Kallio 2","2024","12","7","08:00","35.1","2.6","3.2","1"
"Helsinki Kallio 2","2024","12","7","09:00","33.8","2.6","3.2","1"
"Helsinki Kallio 2","2024","12","7","10:00","33.2","3.9","4.9","1"
"Helsinki Kallio 2","2024","12","7","11:00","29.6","4.4","5.5","1"
"Helsinki Kallio 2","2024","12","7","12:00","33.5","4.3","5.3","1"
"Helsinki Kallio 2","2024","12","7","13:00","33","5.1","5.5","1"
"Helsinki Kallio 2","2024","12","7","14:00","34.3","2.5","3.2","1"
"Helsinki Kallio 2","2024","12","7","15:00","34","3","3.9","1"
"Helsinki Kallio 2","2024","12","7","16:00","34.2","3.3","3.7","1"
"Helsinki Kallio 2","2024","12","7","17:00","35.9","2","3","1"
"Helsinki Kallio 2","2024","12","7","18:00","28.8","5.9","6.2","1"
"Helsinki Kallio 2","2024","12","7","19:00","37.3","4.3","4.6","1"
"Helsinki Kallio 2","2024","12","7","20:00","28.4","4","4.7","1"
"Helsinki Kallio 2","2024","12","7","21:00","27","4.6","5.6","1"
"Helsinki Kallio 2","2024","12","7","22:00","27.4","4.8","6.1","1"
"Helsinki Kallio 2","2024","12","7","23:00","25.5","5.9","7.1","1"
"Helsinki Kallio 2","2024","12","8","00:00","27.6","5.7","7.1","1"
"Helsinki Kallio 2","2024","12","8","01:00","29.6","6.1","7.3","1"
"Helsinki Kallio 2","2024","12","8","02:00","32.5","6.2","7.7","1"
"Helsinki Kallio 2","2024","12","8","03:00","38.7","5.1","6.3","1"
"Helsinki Kallio 2","2024","12","8","04:00","40.9","5.6","6.6","1"
"Helsinki Kallio 2","2024","12","8","05:00","44.9","4.5","6.5","1"
"Helsinki Kallio 2","2024","12","8","06:00","44.2","3.9","5","1"
"Helsinki Kallio 2","2024","12","8","07:00","41.6","4.8","5.8","1"
"Helsinki Kallio 2","2024","12","8","08:00","39.5","5.1","6.4","1"
"Helsinki Kallio 2","2024","12","8","09:00","38.5","5.4","6.3","1"
"Helsinki Kallio 2","2024","12","8","10:00","37.1","5.9","6.5","1"
"Helsinki Kallio 2","2024","12","8","11:00","31.4","6.9","7.3","1"
"Helsinki Kallio 2","2024","12","8","12:00","32.6","8.2","9.8","1"
"Helsinki Kallio 2","2024","12","8","13:00","40","5","6.9","1"
"Helsinki Kallio 2","2024","12","8","14:00","44.6","3.7","5","1"
"Helsinki Kallio 2","2024","12","8","15:00","45.3","4.8","5.8","1"
"Helsinki Kallio 2","2024","12","8","16:00","40.4","5.5","6.2","1"
"Helsinki Kallio 2","2024","12","8","17:00","21.4","7.9","8.2","1"
"Helsinki Kallio 2","2024","12","8","18:00","27.7","7.4","8","1"
"Helsinki Kallio 2","2024","12","8","19:00","25.2","7","7.9","1"
"Helsinki Kallio 2","2024","12","8","20:00","20","7","8","1"
"Helsinki Kallio 2","2024","12","8","21:00","18.5","7.1","8.3","1"
"Helsinki Kallio 2","2024","12","8","22:00","18.9","9.1","10.9","2"
"Helsinki Kallio 2","2024","12","8","23:00","21.2","7.8","9.5","1"
"Helsinki Kallio 2","2024","12","9","00:00","21.1","8.4","10.5","2"
"Helsinki Kallio 2","2024","12","9","01:00","11.4","9.8","11","2"
"Helsinki Kallio 2","2024","12","9","02:00","20.1","9.5","10.1","2"
"Helsinki Kallio 2","2024","12","9","03:00","23.8","7.5","8.2","1"
"Helsinki Kallio 2","2024","12","9","04:00","26.4","6.8","7.8","1"
"Helsinki Kallio 2","2024","12","9","05:00","23.9","5.1","6.6","1"
"Helsinki Kallio 2","2024","12","9","06:00","27","4.7","5.7","1"
"Helsinki Kallio 2","2024","12","9","07:00","21.2","7.1","7.3","1"
"Helsinki Kallio 2","2024","12","9","08:00","19.4","7.6","7.5","1"
"Helsinki Kallio 2","2024","12","9","09:00","21.5","6.4","7","1"
"Helsinki Kallio 2","2024","12","9","10:00","14.4","5.5","5.9","1"
"Helsinki Kallio 2","2024","12","9","11:00","10.8","6.7","6.1","1"
"Helsinki Kallio 2","2024","12","9","12:00","12.1","7.1","5.7","1"
"Helsinki Kallio 2","2024","12","9","13:00","14.4","6.2","5.2","1"
"Helsinki Kallio 2","2024","12","9","14:00","26.9","4.8","4.4","1"
"Helsinki Kallio 2","2024","12","9","15:00","29.8","4.2","4.8","1"
"Helsinki Kallio 2","2024","12","9","16:00","32.7","4.3","5.6","1"
"Helsinki Kallio 2","2024","12","9","17:00","39.2","4.6","5.2","1"
"Helsinki Kallio 2","2024","12","9","18:00","35.8","4","3.6","1"
"Helsinki Kallio 2","2024","12","9","19:00","42","2","2.4","1"
"Helsinki Kallio 2","2024","12","9","20:00","44.6","1.4","1.7","1"
"Helsinki Kallio 2","2024","12","9","21:00","45.3","1.8","2.2","1"
"Helsinki Kallio 2","2024","12","9","22:00","47.5","2.5","2.9","1"
"Helsinki Kallio 2","2024","12","9","23:00","47.3","1.8","1.7","1"
"Helsinki Kallio 2","2024","12","10","00:00","46.3","0.9","1.2","1"
"Helsinki Kallio 2","2024","12","10","01:00","46.3","1.2","1.7","1"
"Helsinki Kallio 2","2024","12","10","02:00","43.6","-0.3","0.4","1"
"Helsinki Kallio 2","2024","12","10","03:00","44","0.6","1.6","1"
"Helsinki Kallio 2","2024","12","10","04:00","40.7","2.5","0.4","1"
"Helsinki Kallio 2","2024","12","10","05:00","45.4","1","1.9","1"
"Helsinki Kallio 2","2024","12","10","06:00","46.3","1","0.8","1"
"Helsinki Kallio 2","2024","12","10","07:00","49.1","1.6","1","1"
"Helsinki Kallio 2","2024","12","10","08:00","48.1","1.8","1.6","1"
"Helsinki Kallio 2","2024","12","10","09:00","46.9","2.7","1.9","1"
"Helsinki Kallio 2","2024","12","10","10:00","49.2","2.8","1.2","1"
"Helsinki Kallio 2","2024","12","10","11:00","48.3","3.7","2.5","1"
"Helsinki Kallio 2","2024","12","10","12:00","47","3.9","2.6","1"
"Helsinki Kallio 2","2024","12","10","13:00","49.3","4.5","1.4","1"
"Helsinki Kallio 2","2024","12","10","14:00","51.4","3.9","1.6","1"
"Helsinki Kallio 2","2024","12","10","15:00","44.9","5","2.9","1"
"Helsinki Kallio 2","2024","12","10","16:00","39.9","5.1","2.7","1"
"Helsinki Kallio 2","2024","12","10","17:00","42.6","7.2","4.2","1"
"Helsinki Kallio 2","2024","12","10","18:00","40","6.7","3.9","1"
"Helsinki Kallio 2","2024","12","10","19:00","40.7","5.6","3.4","1"
"Helsinki Kallio 2","2024","12","10","20:00","44.3","4.9","3.7","1"
"Helsinki Kallio 2","2024","12","10","21:00","44.9","4.1","3.1","1"
"Helsinki Kallio 2","2024","12","10","22:00","45","4.4","3.5","1"
"Helsinki Kallio 2","2024","12","10","23:00","48.6","3.9","2.1","1"
"Helsinki Kallio 2","2024","12","11","00:00","50.9","3.8","3.1","1"
"Helsinki Kallio 2","2024","12","11","01:00","53.8","2.7","2.1","1"
"Helsinki Kallio 2","2024","12","11","02:00","55.8","1.8","2","1"
"Helsinki Kallio 2","2024","12","11","03:00","56.5","1.7","2.2","1"
"Helsinki Kallio 2","2024","12","11","04:00","56","1.8","2.5","1"
"Helsinki Kallio 2","2024","12","11","05:00","-","1.8","2.2","1"
"Helsinki Kallio 2","2024","12","11","06:00","58.4","1.5","2","1"
"Helsinki Kallio 2","2024","12","11","07:00","58.1","1.2","1.5","1"
"Helsinki Kallio 2","2024","12","11","08:00","54.8","12.9","2.1","1"
"Helsinki Kallio 2","2024","12","11","09:00","51.3","4.8","2.6","1"
"Helsinki Kallio 2","2024","12","11","10:00","54.1","5.2","4","1"
"Helsinki Kallio 2","2024","12","11","11:00","53.6","6","4.7","1"
"Helsinki Kallio 2","2024","12","11","12:00","59.5","5.6","3.9","1"
"Helsinki Kallio 2","2024","12","11","13:00","58.6","5.8","3.8","1"
"Helsinki Kallio 2","2024","12","11","14:00","59.1","5.3","3.6","1"
"Helsinki Kallio 2","2024","12","11","15:00","58.8","4.5","3.3","1"
"Helsinki Kallio 2","2024","12","11","16:00","53.3","4.7","3.7","1"
"Helsinki Kallio 2","2024","12","11","17:00","53.5","4.9","3.8","1"
"Helsinki Kallio 2","2024","12","11","18:00","54.8","4.4","3.4","1"
"Helsinki Kallio 2","2024","12","11","19:00","59","3","2.7","1"
"Helsinki Kallio 2","2024","12","11","20:00","59.5","3","3.2","1"
"Helsinki Kallio 2","2024","12","11","21:00","60.8","2.2","2.3","2"
"Helsinki Kallio 2","2024","12","11","22:00","62.1","1.9","2.3","2"
"Helsinki Kallio 2","2024","12","11","23:00","63.4","1.6","2.1","2"
"Helsinki Kallio 2","2024","12","12","00:00","64.4","3","1.5","2"
"Helsinki Kallio 2","2024","12","12","01:00","64.7","0.1","1.4","2"
"Helsinki Kallio 2","2024","12","12","02:00","65.1","0.6","1.5","2"
"Helsinki Kallio 2","2024","12","12","03:00","65.9","1.6","1.6","2"
"Helsinki Kallio 2","2024","12","12","04:00","65.8","1.6","1.7","2"
"Helsinki Kallio 2","2024","12","12","05:00","65.6","3.1","1.5","2"
"Helsinki Kallio 2","2024","12","12","06:00","65.4","2","1.9","2"
"Helsinki Kallio 2","2024","12","12","07:00","64.9","0.5","1.2","2"
"Helsinki Kallio 2","2024","12","12","08:00","59","2.7","1.7","1"
"Helsinki Kallio 2","2024","12","12","09:00","57.8","3.8","3","1"
"Helsinki Kallio 2","2024","12","12","10:00","59.1","4.8","3.8","1"
"Helsinki Kallio 2","2024","12","12","11:00","59.5","4.4","3.4","1"
"Helsinki Kallio 2","2024","12","12","12:00","61.8","3.7","2.8","2"
"Helsinki Kallio 2","2024","12","12","13:00","61.1","5.5","2.8","2"
"Helsinki Kallio 2","2024","12","12","14:00","62.4","4.9","4.7","2"
"Helsinki Kallio 2","2024","12","12","15:00","61.5","3.1","2.7","2"
"Helsinki Kallio 2","2024","12","12","16:00","59.2","6.2","4.5","1"
"Helsinki Kallio 2","2024","12","12","17:00","59.1","7.3","4.8","1"
"Helsinki Kallio 2","2024","12","12","18:00","58.3","9","4","1"
"Helsinki Kallio 2","2024","12","12","19:00","56.5","5.8","4.1","1"
"Helsinki Kallio 2","2024","12","12","20:00","56.8","6","4.2","1"
"Helsinki Kallio 2","2024","12","12","21:00","57.1","5.7","3.8","1"
"Helsinki Kallio 2","2024","12","12","22:00","57.9","6.1","3.9","1"
"Helsinki Kallio 2","2024","12","12","23:00","58.3","3.6","4.2","1"
"Helsinki Kallio 2","2024","12","13","00:00","58.6","3.5","3.2","1"
"Helsinki Kallio 2","2024","12","13","01:00","58.7","3.4","3.3","1"
"Helsinki Kallio 2","2024","12","13","02:00","58.4","4.3","2.6","1"
"Helsinki Kallio 2","2024","12","13","03:00","59.3","1.7","3","1"
"Helsinki Kallio 2","2024","12","13","04:00","58.7","3.6","2.4","1"
"Helsinki Kallio 2","2024","12","13","05:00","57.6","0.8","2","1"
"Helsinki Kallio 2","2024","12","13","06:00","57.2","2.7","1.3","1"
"Helsinki Kallio 2","2024","12","13","07:00","53.2","2.4","1.9","1"
"Helsinki Kallio 2","2024","12","13","08:00","43.8","3.7","1.9","1"
"Helsinki Kallio 2","2024","12","13","09:00","31.3","5.4","3.4","1"
"Helsinki Kallio 2","2024","12","13","10:00","24.4","7.6","3.4","1"
"Helsinki Kallio 2","2024","12","13","11:00","37.9","6.9","3.3","1"
"Helsinki Kallio 2","2024","12","13","12:00","39.1","2.7","0.6","1"
"Helsinki Kallio 2","2024","12","13","13:00","43.9","3.9","1.1","1"
"Helsinki Kallio 2","2024","12","13","14:00","46.8","5.9","0.4","1"
"Helsinki Kallio 2","2024","12","13","15:00","46.1","2.7","0.2","1"
"Helsinki Kallio 2","2024","12","13","16:00","56.3","0.2","-1.4","1"
"Helsinki Kallio 2","2024","12","13","17:00","63.4","2.3","-0.8","2"
"Helsinki Kallio 2","2024","12","13","18:00","69","1.1","0","2"
"Helsinki Kallio 2","2024","12","13","19:00","69.7","3.8","0.7","2"
"Helsinki Kallio 2","2024","12","13","20:00","64.6","4.6","2","2"
"Helsinki Kallio 2","2024","12","13","21:00","62.2","3.7","2.9","2"
"Helsinki Kallio 2","2024","12","13","22:00","56.7","2.3","2.8","1"
"Helsinki Kallio 2","2024","12","13","23:00","54.9","2.1","2.4","1"
"Helsinki Kallio 2","2024","12","14","00:00","54.6","1.9","2.1","1"
"Helsinki Kallio 2","2024","12","14","01:00","53.9","3.4","1.9","1"
"Helsinki Kallio 2","2024","12","14","02:00","51.1","2.4","2.4","1"
"Helsinki Kallio 2","2024","12","14","03:00","48.7","1.6","2.3","1"
"Helsinki Kallio 2","2024","12","14","04:00","46.2","0","1.5","1"
"Helsinki Kallio 2","2024","12","14","05:00","44.2","-0.3","0.5","1"
"Helsinki Kallio 2","2024","12","14","06:00","41.5","0.1","0.2","1"
"Helsinki Kallio 2","2024","12","14","07:00","44.7","0.7","-0.4","1"
"Helsinki Kallio 2","2024","12","14","08:00","47.5","-1","-1.1","1"
"Helsinki Kallio 2","2024","12","14","09:00","48.5","-2.1","-0.4","1"
"Helsinki Kallio 2","2024","12","14","10:00","45.7","-1.2","-0.6","1"
"Helsinki Kallio 2","2024","12","14","11:00","37.6","1.1","-0.6","1"
"Helsinki Kallio 2","2024","12","14","12:00","22.7","1.8","1.6","1"
"Helsinki Kallio 2","2024","12","14","13:00","31.7","0.4","-0.1","1"
"Helsinki Kallio 2","2024","12","14","14:00","44.4","-0.2","-0.6","1"
"Helsinki Kallio 2","2024","12","14","15:00","53.9","0.9","-0.9","1"
"Helsinki Kallio 2","2024","12","14","16:00","52.2","-1.8","0.2","1"
"Helsinki Kallio 2","2024","12","14","17:00","59.1","-1.3","-0.2","1"
"Helsinki Kallio 2","2024","12","14","18:00","52.9","0.3","-1.3","1"
"Helsinki Kallio 2","2024","12","14","19:00","44.9","0","-1.8","1"
"Helsinki Kallio 2","2024","12","14","20:00","44.8","-1.2","-1.2","1"
"Helsinki Kallio 2","2024","12","14","21:00","48.9","-2.4","-1.5","1"
"Helsinki Kallio 2","2024","12","14","22:00","43","-1.2","-1.1","1"
"Helsinki Kallio 2","2024","12","14","23:00","42.1","1.5","-0.2","1"
"Helsinki Kallio 2","2024","12","15","00:00","41.9","-0.4","-0.6","1"
"Helsinki Kallio 2","2024","12","15","01:00","43.7","-1.1","-0.1","1"
"Helsinki Kallio 2","2024","12","15","02:00","42.1","-1.4","0.3","1"
"Helsinki Kallio 2","2024","12","15","03:00","36.5","0.1","1","1"
"Helsinki Kallio 2","2024","12","15","04:00","38.1","0.5","1.4","1"
"Helsinki Kallio 2","2024","12","15","05:00","39","1.3","2","1"
"Helsinki Kallio 2","2024","12","15","06:00","32.9","1.8","2.5","1"
"Helsinki Kallio 2","2024","12","15","07:00","25.2","1.3","4.4","1"
"Helsinki Kallio 2","2024","12","15","08:00","40.1","3.4","5.8","1"
"Helsinki Kallio 2","2024","12","15","09:00","53.1","3","6.2","1"
"Helsinki Kallio 2","2024","12","15","10:00","54.9","4.8","6.7","1"
"Helsinki Kallio 2","2024","12","15","11:00","56","4.7","6.2","1"
"Helsinki Kallio 2","2024","12","15","12:00","50.7","6.3","7.7","1"
"Helsinki Kallio 2","2024","12","15","13:00","52.6","5.2","6.2","1"
"Helsinki Kallio 2","2024","12","15","14:00","50.6","4.2","5.6","1"
"Helsinki Kallio 2","2024","12","15","15:00","45.9","9.1","10","1"
"Helsinki Kallio 2","2024","12","15","16:00","49.4","7.5","8.1","1"
"Helsinki Kallio 2","2024","12","15","17:00","56.6","3.4","4.4","1"
"Helsinki Kallio 2","2024","12","15","18:00","54.7","3.9","4.8","1"
"Helsinki Kallio 2","2024","12","15","19:00","54","1.6","2.4","1"
"Helsinki Kallio 2","2024","12","15","20:00","53.3","3.1","4.9","1"
"Helsinki Kallio 2","2024","12","15","21:00","52.4","1.9","1.5","1"
"Helsinki Kallio 2","2024","12","15","22:00","48.4","2.5","3.2","1"
"Helsinki Kallio 2","2024","12","15","23:00","46.3","4.4","1.4","1"
"Helsinki Kallio 2","2024","12","16","00:00","50.1","0.2","-1.2","1"
"Helsinki Kallio 2","2024","12","16","01:00","50","0.2","-1.9","1"
"Helsinki Kallio 2","2024","12","16","02:00","52.6","0.2","-2.8","1"
"Helsinki Kallio 2","2024","12","16","03:00","51.2","-2.7","-2.9","1"
"Helsinki Kallio 2","2024","12","16","04:00","59.3","-2.3","-4.7","1"
"Helsinki Kallio 2","2024","12","16","05:00","58.9","-3.3","-3.5","1"
"Helsinki Kallio 2","2024","12","16","06:00","54.4","-4.2","-","1"
"Helsinki Kallio 2","2024","12","16","07:00","46.9","-1.5","-3.5","1"
"Helsinki Kallio 2","2024","12","16","08:00","36.9","6.9","6.3","1"
"Helsinki Kallio 2","2024","12","16","09:00","50.6","2.9","5.8","1"
"Helsinki Kallio 2","2024","12","16","10:00","55","3.8","4.4","1"
"Helsinki Kallio 2","2024","12","16","11:00","60.3","5.1","4.3","2"
"Helsinki Kallio 2","2024","12","16","12:00","64.3","6","5.8","2"
"Helsinki Kallio 2","2024","12","16","13:00","66.2","6","4.6","2"
"Helsinki Kallio 2","2024","12","16","14:00","66.4","5.7","4.3","2"
"Helsinki Kallio 2","2024","12","16","15:00","67.2","5.2","4.4","2"
"Helsinki Kallio 2","2024","12","16","16:00","66.7","5.1","4","2"
"Helsinki Kallio 2","2024","12","16","17:00","67.3","6.1","5.1","2"
"Helsinki Kallio 2","2024","12","16","18:00","69","4.3","4.3","2"
"Helsinki Kallio 2","2024","12","16","19:00","69.6","4.1","3.3","2"
"Helsinki Kallio 2","2024","12","16","20:00","70.3","4.9","4.4","2"
"Helsinki Kallio 2","2024","12","16","21:00","72.4","3.6","3.5","2"
"Helsinki Kallio 2","2024","12","16","22:00","73.9","4.1","4.1","2"
"Helsinki Kallio 2","2024","12","16","23:00","73","4.9","3.4","2"
"Helsinki Kallio 2","2024","12","17","00:00","71.4","4.8","3.7","2"
"Helsinki Kallio 2","2024","12","17","01:00","69.7","5.3","3.1","2"
"Helsinki Kallio 2","2024","12","17","02:00","68.4","3.5","2.6","2"
"Helsinki Kallio 2","2024","12","17","03:00","66.6","3.6","3.3","2"
"Helsinki Kallio 2","2024","12","17","04:00","64.7","3.7","3.4","2"
"Helsinki Kallio 2","2024","12","17","05:00","61.7","4.2","3.3","2"
"Helsinki Kallio 2","2024","12","17","06:00","57.8","6.2","3.8","1"
"Helsinki Kallio 2","2024","12","17","07:00","57.1","3.7","3.7","1"
"Helsinki Kallio 2","2024","12","17","08:00","44.8","5","4.5","1"
"Helsinki Kallio 2","2024","12","17","09:00","44.8","5.8","4.3","1"
"Helsinki Kallio 2","2024","12","17","10:00","44.3","7.7","5.6","1"
"Helsinki Kallio 2","2024","12","17","11:00","35.2","7.4","5.8","1"
"Helsinki Kallio 2","2024","12","17","12:00","33.8","9.1","7.4","1"
"Helsinki Kallio 2","2024","12","17","13:00","43.5","8","7.2","1"
"Helsinki Kallio 2","2024","12","17","14:00","50.9","5.1","5.7","1"
"Helsinki Kallio 2","2024","12","17","15:00","45.5","6.2","6.4","1"
"Helsinki Kallio 2","2024","12","17","16:00","43.3","6.2","6.1","1"
"Helsinki Kallio 2","2024","12","17","17:00","56.6","2.9","4.4","1"
"Helsinki Kallio 2","2024","12","17","18:00","57.3","4.7","5.6","1"
"Helsinki Kallio 2","2024","12","17","19:00","54.2","1.5","3.9","1"
"Helsinki Kallio 2","2024","12","17","20:00","59.9","0.9","3.4","1"
"Helsinki Kallio 2","2024","12","17","21:00","59.8","2.1","4","1"
"Helsinki Kallio 2","2024","12","17","22:00","56.9","2.4","4.1","1"
"Helsinki Kallio 2","2024","12","17","23:00","56.3","2.7","4.3","1"
"Helsinki Kallio 2","2024","12","18","00:00","55.4","3.7","5","1"
"Helsinki Kallio 2","2024","12","18","01:00","51.8","3.5","4.5","1"
"Helsinki Kallio 2","2024","12","18","02:00","49.1","4.5","5.9","1"
"Helsinki Kallio 2","2024","12","18","03:00","45.9","3.8","4.2","1"
"Helsinki Kallio 2","2024","12","18","04:00","44.6","5.2","5.2","1"
"Helsinki Kallio 2","2024","12","18","05:00","44.3","3.1","3.4","1"
"Helsinki Kallio 2","2024","12","18","06:00","44.8","5.6","5.3","1"
"Helsinki Kallio 2","2024","12","18","07:00","41","2.5","3.6","1"
"Helsinki Kallio 2","2024","12","18","08:00","31","5","4.8","1"
"Helsinki Kallio 2","2024","12","18","09:00","22.6","4.2","4.4","1"
"Helsinki Kallio 2","2024","12","18","10:00","22.5","5.6","4.2","1"
"Helsinki Kallio 2","2024","12","18","11:00","30.3","5.5","4.2","1"
"Helsinki Kallio 2","2024","12","18","12:00","34.4","4.1","3.5","1"
"Helsinki Kallio 2","2024","12","18","13:00","-","4.1","3","1"
"Helsinki Kallio 2","2024","12","18","14:00","44.2","5.1","3.2","1"
"Helsinki Kallio 2","2024","12","18","15:00","49.5","4.7","1.1","1"
"Helsinki Kallio 2","2024","12","18","16:00","47.5","3","2.1","1"
"Helsinki Kallio 2","2024","12","18","17:00","49.3","2.3","1.7","1"
"Helsinki Kallio 2","2024","12","18","18:00","46.4","1.6","2.7","1"
"Helsinki Kallio 2","2024","12","18","19:00","55.6","1.5","0.2","1"
"Helsinki Kallio 2","2024","12","18","20:00","47.2","2.6","0.2","1"
"Helsinki Kallio 2","2024","12","18","21:00","45.5","1.2","1.1","1"
"Helsinki Kallio 2","2024","12","18","22:00","53.7","2.7","1.5","1"
"Helsinki Kallio 2","2024","12","18","23:00","52.5","3.8","0.9","1"
"Helsinki Kallio 2","2024","12","19","00:00","58.4","-1.6","-2.1","1"
"Helsinki Kallio 2","2024","12","19","01:00","60.2","-2.1","-0.3","2"
"Helsinki Kallio 2","2024","12","19","02:00","60.8","0.8","-0.9","2"
"Helsinki Kallio 2","2024","12","19","03:00","54.6","-0.4","-1.5","1"
"Helsinki Kallio 2","2024","12","19","04:00","52.5","-2.2","-2.2","1"
"Helsinki Kallio 2","2024","12","19","05:00","49.5","1.1","-1","1"
"Helsinki Kallio 2","2024","12","19","06:00","44.3","-1.4","-1.4","1"
"Helsinki Kallio 2","2024","12","19","07:00","37.4","1.3","-0.7","1"
"Helsinki Kallio 2","2024","12","19","08:00","28.9","1.2","-0.2","1"
"Helsinki Kallio 2","2024","12","19","09:00","24.4","0.8","1.2","1"
"Helsinki Kallio 2","2024","12","19","10:00","22.6","2","1.7","1"
"Helsinki Kallio 2","2024","12","19","11:00","34.7","4.1","3.2","1"
"Helsinki Kallio 2","2024","12","19","12:00","46","4.7","3.7","1"
"Helsinki Kallio 2","2024","12","19","13:00","56.6","5.9","2.6","1"
"Helsinki Kallio 2","2024","12","19","14:00","60.6","7.1","2.2","2"
"Helsinki Kallio 2","2024","12","19","15:00","60.2","5.9","2.9","2"
"Helsinki Kallio 2","2024","12","19","16:00","48.9","6.4","1.9","1"
"Helsinki Kallio 2","2024","12","19","17:00","46.1","6.5","2","1"
"Helsinki Kallio 2","2024","12","19","18:00","43.6","8.8","4.6","2"
"Helsinki Kallio 2","2024","12","19","19:00","50.3","10.1","3.9","1"
"Helsinki Kallio 2","2024","12","19","20:00","51.4","6.7","3.2","1"
"Helsinki Kallio 2","2024","12","19","21:00","53.2","5.2","2.8","1"
"Helsinki Kallio 2","2024","12","19","22:00","41.7","2.5","1.3","1"
"Helsinki Kallio 2","2024","12","19","23:00","38.5","0.9","1.2","1"
"Helsinki Kallio 2","2024","12","20","00:00","31","0.9","1.9","1"
"Helsinki Kallio 2","2024","12","20","01:00","53.9","2.1","2.6","1"
"Helsinki Kallio 2","2024","12","20","02:00","58.6","-0.4","2.4","1"
"Helsinki Kallio 2","2024","12","20","03:00","58.5","2.2","2.2","1"
"Helsinki Kallio 2","2024","12","20","04:00","61.2","2.7","3","2"
"Helsinki Kallio 2","2024","12","20","05:00","59.9","2.7","2.5","1"
"Helsinki Kallio 2","2024","12","20","06:00","65.6","0.5","1.3","2"
"Helsinki Kallio 2","2024","12","20","07:00","68.1","1.8","2.5","2"
"Helsinki Kallio 2","2024","12","20","08:00","65.7","2.7","1.9","2"
"Helsinki Kallio 2","2024","12","20","09:00","55.3","4.7","3.5","1"
"Helsinki Kallio 2","2024","12","20","10:00","53.4","6.6","3.6","1"
"Helsinki Kallio 2","2024","12","20","11:00","61.9","6.3","3.2","2"
"Helsinki Kallio 2","2024","12","20","12:00","63.4","3.4","2.5","2"
"Helsinki Kallio 2","2024","12","20","13:00","58.8","3.3","3.2","1"
"Helsinki Kallio 2","2024","12","20","14:00","49.8","4.3","3.2","1"
"Helsinki Kallio 2","2024","12","20","15:00","48.2","4.8","4.2","1"
"Helsinki Kallio 2","2024","12","20","16:00","44.3","4.8","4.7","1"
"Helsinki Kallio 2","2024","12","20","17:00","45.5","2.9","4","1"
"Helsinki Kallio 2","2024","12","20","18:00","36.5","3.1","4.2","1"
"Helsinki Kallio 2","2024","12","20","19:00","41.5","0.9","2.6","1"
"Helsinki Kallio 2","2024","12","20","20:00","51.9","2.5","5","1"
"Helsinki Kallio 2","2024","12","20","21:00","54.4","3.7","5.6","1"
"Helsinki Kallio 2","2024","12","20","22:00","54.8","2.4","4.5","1"
"Helsinki Kallio 2","2024","12","20","23:00","54.8","3.6","4.4","1"
"Helsinki Kallio 2","2024","12","21","00:00","60.2","1.2","5.2","2"
"Helsinki Kallio 2","2024","12","21","01:00","57.4","5.3","5.9","1"
"Helsinki Kallio 2","2024","12","21","02:00","56.9","7.4","5.4","1"
"Helsinki Kallio 2","2024","12","21","03:00","56.7","5.6","4.3","1"
"Helsinki Kallio 2","2024","12","21","04:00","55.4","5.1","4.4","1"
"Helsinki Kallio 2","2024","12","21","05:00","57.7","4.7","3.3","1"
"Helsinki Kallio 2","2024","12","21","06:00","60.4","3.1","2.1","2"
"Helsinki Kallio 2","2024","12","21","07:00","63.9","4.1","2.1","2"
"Helsinki Kallio 2","2024","12","21","08:00","66.6","6.9","3.7","2"
"Helsinki Kallio 2","2024","12","21","09:00","66.9","4.2","3.7","2"
"Helsinki Kallio 2","2024","12","21","10:00","70.7","4.4","0.4","2"
"Helsinki Kallio 2","2024","12","21","11:00","67.3","5.9","2.7","2"
"Helsinki Kallio 2","2024","12","21","12:00","69.9","7.9","4","2"
"Helsinki Kallio 2","2024","12","21","13:00","67.9","1.5","1.8","2"
"Helsinki Kallio 2","2024","12","21","14:00","60.2","0.9","1.8","2"
"Helsinki Kallio 2","2024","12","21","15:00","56.6","2.9","2.6","1"
"Helsinki Kallio 2","2024","12","21","16:00","48.8","3.1","3.2","1"
"Helsinki Kallio 2","2024","12","21","17:00","49.7","2.5","4.2","1"
"Helsinki Kallio 2","2024","12","21","18:00","49.9","3.5","3.8","1"
"Helsinki Kallio 2","2024","12","21","19:00","53.4","4.9","4.7","1"
"Helsinki Kallio 2","2024","12","21","20:00","58","3.6","3.5","1"
"Helsinki Kallio 2","2024","12","21","21:00","58.7","3.7","3","1"
"Helsinki Kallio 2","2024","12","21","22:00","55.3","4.5","3.5","1"
"Helsinki Kallio 2","2024","12","21","23:00","53.1","5.3","4.3","1"
